stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1534","1534","Henri Fréville","Rennes","48.0885490857","-1.6743904563","","","","","","1"
"1535","1535","Portugal","Rennes","48.0837842482","-1.6724914938","","","","","","2"
"1536","1536","Clos Courtel","Rennes","48.1267797141","-1.6302453757","","","","","","1"
"1537","1537","Léonard","Rennes","48.1315958887","-1.6916600905","","","","","","1"
"1539","1539","Lemaistre","Rennes","48.1072529539","-1.7231353368","","","","","","1"
"1540","1540","Pont de Bretagne","Rennes","48.1099985819","-1.6851579124","","","","","","1"
"1542","1542","Pont de Bretagne","Rennes","48.1099195122","-1.6853504031","","","","","","1"
"1543","1543","Léonard","Rennes","48.1313409176","-1.6918894084","","","","","","1"
"1545","1545","Cleunay Stade","Rennes","48.1015494716","-1.7084217616","","","","","","2"
"1546","1546","Cleunay Stade","Rennes","48.1016139458","-1.7088230219","","","","","","2"
"1547","1547","Etangs d'Apigné","Rennes","48.0919831052","-1.7378114054","","","","","","2"
"1548","1548","Etangs d'Apigné","Rennes","48.0921215678","-1.7373272855","","","","","","2"
"1550","1550","République","Rennes","48.1096991392","-1.6779423515","","","","","","1"
"1551","1551","République","Rennes","48.1099361489","-1.6782275594","","","","","","2"
"1552","1552","Place Pasteur","Rennes","48.1106241492","-1.6735062438","","","","","","1"
"1553","1553","Villejean-Université","Rennes","48.1212971284","-1.7023391265","","","","","","1"
"1554","1554","Binquenais Le Moine","Rennes","48.0907324598","-1.6612498986","","","","","","1"
"1555","1555","Fossés","Rennes","48.1133038574","-1.6753060847","","","","","","1"
"1556","1556","République","Rennes","48.1093996843","-1.6776255417","","","","","","1"
"1560","1560","Bourgeois","Rennes","48.0977726085","-1.6567238559","","","","","","1"
"1561","1561","Langevin","Rennes","48.0959178346","-1.6580678241","","","","","","1"
"1563","1563","République","Rennes","48.1096977028","-1.6781498237","","","","","","1"
"1564","1564","Henri Fréville","Rennes","48.0881143140","-1.6744054437","","","","","","2"
"1566","1566","Lycée Basch","Rennes","48.1253035352","-1.6924311387","","","","","","1"
"1567","1567","Charles de Gaulle","Rennes","48.1062127457","-1.6774253867","","","","","","1"
"1568","1568","Kennedy Guyenne","Rennes","48.1210278243","-1.7135707741","","","","","","1"
"1570","1570","Coeur de Courrouze","Rennes","48.0984714152","-1.6975308326","","","","","","1"
"1571","1571","Coeur de Courrouze","Rennes","48.0982898915","-1.6993889824","","","","","","1"
"1572","1572","Vincennes","Rennes","48.1180146023","-1.6752189863","","","","","","1"
"1573","1573","Mermoz","Rennes","48.0970454322","-1.6902775167","","","","","","1"
"1574","1574","Binquenais Le Moine","Rennes","48.0908752993","-1.6611008840","","","","","","1"
"1578","1578","Lycée Mendès France","Rennes","48.1333504276","-1.6838998985","","","","","","2"
